,avstånd till framförvarande fordon (sek),avstånd till fordon i närliggande fil,vinkel mellan last bil och släp,hastighet,avvikelse från mitten av filen,acceleration i sidled,acc
80,3.0613801813916472,1000.0,3.0132538225495197e-10,12.092661024606846,8.487179847804782e-10,1.3711428084925403e-10,-0.11043888703732105
81,3.056654751860685,1000.0,2.557912906764112e-10,12.070573247199382,7.93705545731882e-10,1.1654310098912466e-10,-0.10659626654225131
82,3.052077586473368,1000.0,2.339302316305914e-10,12.049253993890934,8.200697898530507e-10,1.0933778208696042e-10,-0.1028851339950926
83,3.0476444542092165,1000.0,2.4125968860003685e-10,12.028676967091917,8.288938424527714e-10,4.0444513227836326e-11,-0.09930266803171282
84,3.0433512919017924,1000.0,5.944946700774584e-11,12.008816433485576,1.1903082963726774e-09,1.567140798348402e-11,-0.09584481671642774
85,3.0391941383928853,1000.0,1.3421285187891387e-11,11.989647470142293,1.2455383391341002e-09,1.1668747777079163e-12,-0.09250734142087277
86,3.035169118718901,1000.0,7.808483849377869e-12,11.971146001858122,1.2201040178183575e-09,5.882679299920729e-11,-0.08928607471079572
87,3.0312724407276037,1000.0,3.0053600253777616e-10,11.95328878691596,8.512559546147713e-10,4.894023778129589e-11,-0.08617697691459698
88,3.027500394476529,1000.0,4.8588862036954784e-11,11.936053391533042,4.342379789079587e-10,1.803194452223527e-09,-0.08317614397789333
89,3.023849352074389,1000.0,9.555633532720628e-09,11.919418162737463,1.177398978313704e-08,1.441221617446638e-09,-0.08027980283991644
90,3.0203157673590084,1000.0,1.6133142894878163e-09,11.90336220216948,2.5077759424618762e-08,3.944263723489908e-10,-0.07748431834576591
91,3.01689617602099,1000.0,6.357372173887687e-10,11.887865338500324,2.6240646988640037e-08,6.316700457998866e-11,-0.07478617772778003
92,3.0135871950398725,1000.0,2.630367465844663e-10,11.872908102954765,2.517286867842472e-08,1.4693850784116108e-09,-0.07218199089177857
93,3.010385522227144,1000.0,9.234435935367561e-09,11.858471704776411,1.3903462381392728e-08,1.211914640567007e-09,-0.06966848694306897
94,3.0072879356976885,1000.0,1.5772433474314289e-09,11.844538007387795,1.0899956492949059e-09,3.3644857691390783e-10,-0.06724250744014038
95,3.0042912931028285,1000.0,6.226757867423613e-10,11.831089505899767,-4.000400011250349e-11,5.310614194705442e-11,-0.06490100478309623
96,3.0013925308877374,1000.0,2.6330713839935947e-10,11.818109304943148,1.0076348644361133e-09,3.959499781602785e-11,-0.06264103773124079
97,2.9985886634322583,1000.0,1.3999039125571172e-11,11.805581097396901,1.3021139722013686e-09,2.015693407174509e-12,-0.060459765983300655
98,2.995876782025336,1000.0,2.8610153112650044e-11,11.793489144200242,1.2518373004866135e-09,3.2723585796738427e-12,-0.05835445028515176
99,2.993254053958699,1000.0,4.058841908806886e-12,11.781818254143209,1.2133281046544653e-09,7.834216206225371e-13,-0.05632244555497666
100,2.990717721386717,1000.0,2.0250168640953426e-12,11.770553765032217,1.2109331315457439e-09,1.8220281831726704e-13,-0.054361198687179924
101,2.988265100187335,1000.0,5.604042905261631e-13,11.759681525294779,1.213974698544007e-09,1.0048254601759782e-13,-0.05246824595464552
102,2.985893578807346,1000.0,2.756919116643084e-13,11.749187876103852,1.214309097719024e-09,1.6316120436138936e-15,-0.050641209187660075
103,2.983600617030249,1000.0,2.616381083084423e-13,11.739059634266317,1.2136780469518271e-09,2.005758704394052e-14,-0.048877793028233085
104,2.9813837447208797,1000.0,8.279180818503306e-14,11.72928407566067,1.2132739257708636e-09,5.161511004378289e-15,-0.047175782243030984
105,2.979240560550697,1000.0,3.514706836081423e-14,11.719848919212067,1.2131358140266002e-09,1.4466342974253582e-18,-0.04553303838334062
106,2.9771687306698484,1000.0,3.516089274503968e-14,11.710742311535396,1.2130541016119878e-09,2.5503562544900824e-16,-0.043947497782308956
107,2.975165987393951,1000.0,3.2637711023604746e-14,11.701952811978932,1.2129750537326345e-09,5.985549308442378e-16,-0.04241716850245572
